일자	언론사	제목	본문
20210923	동아일보	엔씨-넥슨-넷마블 ‘위기 돌파’ 승부수	"국내 게임업계를 대표하는 엔씨소프트, 넥슨, 넷마블 등 이른바 ‘3N’이 신작 흥행 부진과 중국 등 해외시장 규제 강화 조치 등으로 흔들리고 있다. 상반기(1 6월) 실적이 전년 대비 큰 폭으로 줄어든 데 이어 주가도 하락하자 대형 게임사의 창업주를 비롯한 최고경영진이 직접 진화에 나섰다. 
 
 엔씨소프트 창업주인 김택진 대표는 추석 연휴 전인 17일.."
20210923	중도일보	성남시 게임 콘텐츠특구 규제특례 착수	"경기 성남시가 최근 게임 콘텐츠 특구위원회 첫 자문회의를 개최했다./제공=성남시 경기 성남시(시장 은수미)가 최근 시청 3층 산성누리에서 '게임 콘텐츠 특구위원회' 발족식을 개최했다.
총 13명으로 구성된 특구위원회는 지난 4월 '게임 콘텐츠 특구'로 지정된 성남시 판교 일대를 국내 최대의 게임 콘텐츠 지원시설 집적지로 육성하기 위한 특화사업에 대해 전.."
20210922	아시아경제	"확률형 아이템, 또 국감 이슈로 방어전 나서는 게임사들"	"[아시아경제 강나훔 기자] 게임업계 최고 화두였던 '확률형 아이템' 문제가 다음달 열릴 국회 국정감사에서도 이슈가 될 전망이다. 
 
22일 정치권에 따르면 국회 정무위원회는 지난 16일 김정주 넥슨 창업주와 강원기 메이플스토리 디렉터를 국정감사 증인으로 채택했다. 확률형 아이템의 확률 조작 의혹을 따져 묻기 위해서다. 
 
올해 초 넥슨은 '메이플스토.."
20210922	MBC	골목 상권 침해 문어발 확장 플랫폼 기업 책임자들 국회로	"◀ 앵커 ▶

카카오와 네이버, 쿠팡과 야놀자까지.

플랫폼 기업의 책임자들이 다음 주 금요일부터 시작되는 국정감사에 줄줄이 증인으로 채택됐습니다.

골목상권 침해부터, 문어발 확장, 또 직장 내 괴롭힘까지. 

지금까지 드러난 문제들이 전부 도마 위에 오르면서 규제 논의가 본격화되고 있습니다.

오해정 기자가 전해드리겠습니다.

◀ 리포트 ▶

국회 .."
20210922	머니투데이	"구글 애플에 3.6조 쓴 게임 3사, 토종 앱마켓은 패싱 이유는?"	[머니투데이 윤지혜 기자] 국내 대표게임사인 3N(엔씨소프트 넥슨 넷마블)이 구글 애플 앱마켓에만 게임을 출시해 지난 3년간 3조6000억원의 국부가 유출됐다는 분석이 나왔다. 이에 토종 앱마켓에도 게임을 동일하게 출시하도록 해야 한다는 지적이 제기된다. 그러나 국내 게임사의 글로벌 시장 진출이 느는 점을 고려하면 구글 애플에 '선택과 집중'할 수밖에 ..
20210922	서울신문	전방위 국감 호출 ‘빅테크 때리기’ 최고조 예고	"10월 국정감사에 주요 정보기술(IT) 기업 대표들이 줄줄이 증인으로 채택되며 정부 여당을 중심으로 제기된 ‘빅테크 때리기’가 가을 국회에서 최고조에 이를 전망이다. 빅테크 기업인의 국감 출석이 어제오늘 일은 아니지만, 올해는 이른바 ‘태크레시’(IT기업에 반발하거나 제제를 강화하는 현상)가 업계를 강타하며 정치권의 공세가 과거 어느 때보다 거셀 것이란.."
20210922	동아일보	"카카오 규제 목소리 커지자 김범수, 석달만에 ‘최고 부자’ 내줬다"	"카카오 주가 상승 영향으로 한국 최고 부자에 올랐던 김범수 카카오 이사회 의장이 1위 자리를 내줬다고 블룸버그가 밝혔다. 카카오의 골목상권 침해 논란으로 규제에 나서야 한다는 주장이 나오며 카카오 주가가 급락했기 때문이다. 
 
 22일 블룸버그 억만장자지수(BBI)에 따르면 김 의장의 재산 가치는 106억 달러(약 12조5504억 원)로 이재용 삼성전.."
20210922	아시아경제	"김영식 “게임3N, 해외 앱 마켓 편중 수수료 연간 1조원 유출”"	"[아시아경제 구은모 기자] 국내 대형 게임사인 3N(넥슨 엔씨소프트 넷마블)의 국내 앱마켓 외면으로 국내외 앱마켓 간 콘텐츠 불균형이 심각하고, 수수료가 비싼 해외 앱마켓으로 유통창구가 편중되면서 연간 1조원 이상의 막대한 수수료가 해외로 유출되고 있는 것으로 나타났다. 
 
22일 국회 과학기술방송정보통신위원회 소속 김영식 국민의힘 의원이 발표한 '구.."
20210922	디지털타임스	"국내 앱마켓 외면한 게임 3N, 3년간 구글 애플에 수수료 3.6조"	"구글 애플 등 해외 앱 마켓 사업자의 독과점 논란이 심화되고 있는 가운데, 국내 대형 게임사인 3N(넥슨 엔씨소프트 넷마블)의 외면으로 국내 앱 마켓 입점이 미미한 것으로 나타났다. 반면 3N이 최근 3년간 구글 애플에 지급한 앱 마켓 수수료는 3조원에 육박해 개선이 시급하다는 목소리가 높아지고 있다.



22일 국회 과학기술방송정보통신위원회 소속 김.."
20210922	머니투데이	"김영식 ""게임3N, 최근 3년간 구글 애플 수수료 '3조' 지출"""	"[머니투데이 서진욱 기자] [[the300]]

 
국내 대형 게임사인 '3N'(엔씨소프트 넥슨 넷마블)이 최근 3년간 구글 애플에 지급한 앱마켓 수수료가 3조원에 육박하는 것으로 추산됐다. 모바일 게임시장의 해외 앱마켓 편중 현상으로 막대한 수수료 비용 지출이 이뤄지고 있다는 지적이다.

22일 김영식 국민의힘 의원(국회 과학기술정보방송통신위원회)이 .."
20210922	부산일보	"“게임 3사, 앱마켓 수수료 3년간 3조원 넘어” 김영식 의원실"	"엔씨소프트, 넷마블, 넥슨 등 국내 게임 3사가 구글 애플 등 해외 앱마켓에 최근 3년간 3조 원이 넘는 수수료를 지급했다는 분석이 나왔다. 자료:김영식 의원실



 엔씨소프트, 넷마블, 넥슨 등 국내 게임 3사가 구글 애플 등 해외 앱마켓에 최근 3년간 3조 원이 넘는 수수료를 지급했다는 분석이 나왔다. 
 
 국회 과학기술정보방송통신위원회 소속 국.."
20210921	세계일보	이번 국감은 IT국감 카카오 김범수 등 무더기 증인 신청	"10월부터 열리는 2021년 국회 국정감사에 IT기업 총수와 대표들이 대거 증인명단에 이름이 올랐다. 최근 골목상권 침해 논란을 빚고 있는 카카오와 플랫폼 독점 구제문제를 안고 있는 네이버, 수수료 및 별점 테러와 관련한 쿠팡, 야놀자, 우아한형제들에 이르기까지 이번 국감은 IT국감이 될 전망이다. 
 
 21일 국회에 따르면 산업통상자원중소벤처기업위원.."
20210921	한국일보	"카카오 김범수, 주가 급락에 '한국 최고 부자' 자리 반납"	"김범수 카카오 이사회 의장이 석 달 만에 이재용 삼성전자 부회장에게 한국 최고 부자 타이틀을 내줬다. 정부 당국의 규제에 따른 카카오 주가 급락이 그 원인인 것으로 분석된다.
21일 블룸버그통신의 세계 500대 부자 순위(Billionaires Index)에 따르면 이날 기준 이재용 부회장의 재산은 110억 달러(약 13조240억 원)로, 세계 순위 2.."
20210921	아시아경제	"카카오 김범수, 최고부자 자리 다시 이재용에 내줬다"	"[아시아경제 강나훔 기자] 한국인 최고 부자 자리에 올랐던 김범수 카카오 이사회 의장이 석 달만에 선두 자리를 이재용 삼성전자 부회장에게 내줬다. 
 
21일 블룸버그는 세계 500대 부자 순위를 집계해 공개했다. 우리나라에서는 이 부회장(212위), 김 의장(225위), 서정진 셀트리온그룹 명예회장(238위), 홍라희 전 리움미술관장(434위), 김정.."
20210921	아주경제	"카카오 김범수, 이재용에 석달만에 한국 최고 부자 자리 내줘"	"[사진 = 카카오] 
 
 
한국인 최고 부자 자리에 올랐던 김범수 카카오 이사회 의장이 석 달만에 선두 자리를 이재용 삼성전자 부회장에게 내줬다. 카카오의 사업 확장에 따른 ‘시장 독점 갑질 논란’에 더불어민주당이 카카오에 대한 규제 추진을 예고한 탓이다. 
 
21일 금융투자업계에 따르면, 블룸버그가 집계하는 세계 500대 부자 순위(20일 기준)에.."
20210921	동아일보	석 달 만에 뺏겼다 카카오 김범수 최고부자 다시 이재용에 내줘	"한국 최고 부자에 올랐던 김범수 카카오 이사회 의장이 석 달 만에 이재용 삼성전자 부회장에게 자리를 내줬다. 
 
21일 블룸버그가 집계하는 억만장자지수(BBI)에 따르면 세계 500대 부자 순위 안에 든 한국인 부자는 이재용 부회장(세계 208위), 김범수 의장(세계 221위), 서정진 셀트리온그룹 명예회장(세계 237위), 이 부회장의 모친인 홍라희.."
20210921	헤럴드경제	"카카오 김범수, ‘최고 부자’ 타이틀 이재용에 다시 내줬다"	"[헤럴드경제=최원혁 기자] 김범수 카카오 이사회 의장이 한국인 최고 부자 자리 타이틀을 석 달 만에 이재용 삼성전자 부회장에게 다시 내줬다. 
 
 21일 금융투자업계에 따르면 블룸버그가 집계하는 세계 500대 부자 순위(20일 기준)에 진입한 한국인 부자는 이재용 부회장(세계 212위), 김범수 의장(세계 225위), 서정진 셀트리온그룹 명예회장(세계.."
20210921	중앙일보	"[민지리뷰] ""입사를 축하드립니다. 근무지는 10초 거리인 개더타운입니다"""	"현대차의 신차 품평회, 글로벌 화장품 회사의 인재 채용, 하나금융지주의 재테크 강의. 이 모든 것이 가상의 공간, 메타버스에서 일어나고 있다. 더 재미있는, 더 나은 디지털 세상 속 만남을 위한 움직임이 일고 있는 것. 그 중심에 있는 것은 ‘개더타운’이다. 부동산 중개 스타트업 직방은 올해 초 오프라인 사무실을 닫고 아예 이곳으로 회사를 옮기기도 했다.."
20210921	세계일보	韓 최고 부자자리 이재용에 내준 김범수 ‘골목상권 침해’ 논란 주가 하락	김범수 카카오 이사회 의장. 뉴시스 한때 한국인 최고 부자 자리에 올랐던 김범수 카카오 이사회 의장이 석 달 만에 선두 자리를 이재용 삼성전자 부회장에게 다시 내줬다. 문어발식 사업확장과 골목상권 침해 논란이 불거진 뒤 당정이 각종 규제 조치를 만지작거리면서 주가가 급락한 탓이다. 여기에 김범수 의장의 개인 소유 투자회사 케이큐브홀딩스가 사회적 기업으로..
20210921	전자신문	"카카오 김범수, 한국인 부자 순위 2위 넥슨 김정주는 5위"	"김범수 카카오 이사회 의장이 한국인 부자 순위 2위에 올랐다. 김정주 넥슨 창업자는 5위를 기록했다.

블룸버그가 집계하는 세계 500대 부자 순위(20일 기준)에 따르면 한국인 부자는 이재용 삼성전자 부회장(세계 212위), 김범수 카카오 이사회 의장(세계 225위), 서정진 셀트리온그룹 명예회장(세계 238위), 홍라희 전 리움미술관장(세계 434위.."
20210921	머니투데이	카카오 흔들리자 김범수 '한국 최고 부자'도 내줬다 1위는 누구?	"[머니투데이 이지윤 기자] 몇 달 전 국내 최고 부자가 된 김범수 카카오 이사회 의장이 3달 만에 이재용 삼성전자 부회장에게 자리를 내줬다. 
 
한국시간으로 21일 오전 11시 기준 블룸버그 억만장자 지수에 따르면 세계 500대 부자 순위에 진입한 한국인은 이재용 부회장(208위), 김범수 의장(221위), 서정진 셀트리온그룹 명예회장(237위), 홍.."
20210921	경향신문	"카카오 김범수 '백일 천하'  이재용, 한국 최고부자 석달 만에 탈환"	"김범수 카카오 이사회 의장이 한국인 최고 부자 타이틀을 석 달 만에 이재용 삼성전자 부회장에게 다시 내줬다.

21일 금융투자업계에 따르면 블룸버그가 집계하는 세계 500대 부자 순위(20일 기준) 중 한국인 최고 부자는 세계 212위를 차지한 이재용 부회장으로 나타났다. 김범수 의장은 세계 225위로 한국인 부자 2위로 밀렸다.

서정진 셀트리온 그룹.."
20210921	서울신문	"‘국내 최고 부자’ 카카오 김범수, 석달만에 이재용에 타이틀 반환"	"블룸버그 세계 500대 부자 순위
카카오 김범수 의장의 재산이 국내 최고 수준으로 올라선 지 3개월 만에 ‘전통의 강자’ 이재용 삼성전자 부회장에게 다시 1위 자리를 내준 것으로 나타났다.21일 금융투자업계에 따르면 블룸버그가 집계하는 세계 500대 부자 순위(20일 기준)에 진입한 한국인 부자는 이재용 부회장(세계 212위), 김범수 의장(세계 225.."
20210921	문화일보	석달만에 뒤바뀐 ‘한국 최고 부자’ 타이틀 1위 재산은 13조1000억 원 달해	"김범수 카카오 의장, 주가하락에 1위 자리 이재용 삼성전자 부회장에 내줘



한국인 최고 부자 타이틀이 석 달 만에 김범수 카카오 이사회 의장에서 이재용 삼성전자 부회장으로 바뀌었다. 최근 금융당국의 플랫폼 규제에 따른 주가하락이 직접적인 원인이 된 것으로 풀이된다.

 

21일 금융투자업계에 따르면 블룸버그가 집계하는 세계 500대 부자 순위(20.."
20210921	서울경제	재산 5조 사라진 김범수 한국 '최고 부자' 자리 내줬다	"지난 6월 ‘한국의 최고 부자’로 등극했던 김범수(사진) 카카오 이사회 의장이 이재용 삼성전자 부회장에게 다시 자리를 내줬다. 
 

 20일(현지시간) 블룸버그의 세계 500대 부자 순위에 포함된 한국인은 이재용 부회장(전세계 212위), 김범수 의장(225위), 서정진 셀트리온그룹 명예회장(238위), 홍라희 전 리움미술관장(434위), 김정주 넥슨.."
20210921	매일경제	카카오 김범수의 '삼월천하' 주가하락에 이재용 부회장 다시 최고부자 등극	"김범수 카카오 이사회 의장이 규제리스크로 인한 주가하락으로 한국인 최고 부자 타이틀을 석 달만에 내주게 됐다. 반면 이재용 삼성전자 부회장은 김 의장보다 재산 감소폭이 적어 다시 최고부자 자리에 올랐다.
 21일 블룸버그에 따르면 세계 500대 부자 순위(20일 기준)에 한국인으로는 이 부회장이 212위로 가장 높은 자리에 올랐다. 이어 김 의장이 22.."
20210921	중앙일보	카카오 김범수 '백일 천하' 최고부자 다시 이재용에 내줬다	"한때 한국인 최고 부자 자리에 올랐던 김범수 카카오 이사회 의장이 이 타이틀을 석 달 만에 이재용 삼성전자 부회장에게 다시 내줬다. 
 
 21일 금융투자업계에 따르면 블룸버그가 집계하는 세계 500대 부자 순위(20일 기준) 중 한국인 최고 부자는 세계 212위를 차지한 이재용 부회장으로 나타났다. 김범수 의장은 세계 225위로 한국인 부자 2위로 밀.."
20210921	조선일보	"석 달 만에 밀려난 카카오 김범수, ‘최고 부자’ 뺏은 1위는?"	"김범수 카카오 이사회 의장이 한국인 최고 부자 타이틀을 석 달 만에 내주게 됐다. 선두 자리를 건네받은 인물은 이재용 삼성전자 부회장이다. 
 
21일 블룸버그가 전날 기준으로 집계한 세계 500대 부자 순위에 이름을 올린 한국인은 이 부회장(세계 212위), 김 의장(세계 225위), 서정진 셀트리온그룹 명예회장(세계 238위), 홍라희 전 리움미술관.."
20210921	서울경제	'짝퉁'에서 '갓겜'으로... 1주년 원신이 한국 게임계에 주는 교훈	"‘짝퉁’으로 비하받던 중국 게임 ‘원신’이 출시 1년을 맞는다. 출시 초기 벌어졌던 표절 논란은 높은 완성도에 밀려 사실상 사라졌고, 매출은 글로벌 최상단을 유지 중이다. 최근 위기를 맞고 있는 한국 게임계에서도 ‘원신을 배워야 한다’는 목소리가 심심찮게 나온다. 
 

 
 
 20일 글로벌 시장조사기관 센서타워에 따르면 원신은 지난 1일 실시한 2..."
20210921	국민일보	카카오 주가↓ 김범수 재산↓ 이재용 다시 최고 부자에	"한때 한국인 최고 부자 자리에 올랐던 김범수 카카오 이사회 의장이 이재용 삼성전자 부회장에게 다시 선두 자리를 내줬다. 
 
김범수 의장은 개인 소유 투자회사 케이큐브홀딩스를 사회적 기업으로 전환할 계획이어서 전환 결과에 따라 재산이 40% 이상 줄어 부자 순위 5위권 밑으로 밀려날 가능성도 있다. 
 
21일 금융투자업계에 따르면 블룸버그가 집계하는 .."
20210921	한국경제	"카카오 김범수, '최고 부자' 타이틀 석 달 만에 내줬다 1위는?"	"김범수 카카오 이사회 의장이 한국인 최고 부자 타이틀을 석 달 만에 이재용 삼성전자 부회장에게 다시 내주게 됐다. 
 
21일 금융투자업계에 따르면 블룸버그가 집계하는 세계 500대 부자 순위(20일 기준)에 한국인 부자는 이재용 부회장이 세계 순위 212위, 김범수 의장이 225위, 서정진 셀트리온그룹 명예회장이 238위, 홍라희 전 리움미술관장이 4.."
20210920	매일경제	"게임주 전망 톺아보기 (2) 3N 중 살아남은 넷마블, 주가 기대감 UP"	"게임업계 TOP3 3N(넥슨, 엔씨소프트, 넷마블) 중 넥슨과 엔씨소프트가 연일 악재에 휩싸인 것과 달리 넷마블은 양호한 실적을 내며 순항하고 있다. 올해 상반기 내놓은 신작 ‘제2의 나라’가 안착했고 8월에 내놓은 ‘마블 퓨처 레볼루션’도 시장에서 반응이 좋다. 여기에 소셜 카지노 업체 ‘스핀엑스’를 인수하며 사업 다각화도 성공적으로 진행 중이다.
넷.."
20210920	매일경제	"비실비실 게임주 데브시스터즈, 위메이드만 고공행진"	게임주가 좀처럼 힘을 받지 못한다. 하반기 들어 70만~80만원대에서 거래되던 엔씨소프트는 8월 말 하락세를 타기 시작해 9월 15일 종가 기준 59만6000원까지 빠졌다. 신작 ‘블레이드&소울2’가 기대에 미치지 못한다는 평가를 받은 결과다. 넷마블은 7월 한때 14만원대까지 뛰었으나 9월 들어서는 12만원대로 내려갔다. 일본 증시에 상장한 넥슨 역시..
20210920	아주경제	"[정정당당 : 화천대유 풀 스토리] '황금입지' 대장동 땅값, 2016년부터 고공행진"	"판교 대장지구 일대 모습 [사진=연합뉴스 ] 
 
 
 
 
화천대유가 세상에 알려지며, 미니 판교로 불리는 '성남 대장지구'가 주목을 받고 있다. 성남 분당 대장동 일대는 개발이 급물살을 타기 시작한 2016년부터 땅값이 오름세를 탔다. 황금입지로 통하는 대장동에 서울 강남 등 외지인들의 투기 수요가 몰리면서 일대 지가가 큰 폭으로 오른 것이다. 
 .."
20210919	한국경제	"한가위 맞이 풍성한 게임 이벤트 ""이번 추석엔 너로 정했다"""	"이번 추석도 게임사들의 모바일 게임 이벤트가 쏟아진다. 추석 대목을 맞아 다양한 이벤트로 귀향길 이용자들을 공략한다. 
 
엔씨소프트는 ‘리니지M’에서는 이벤트 던전 ‘풍요로운 토끼 왕국’이 열린다. 60레벨 이상의 이용자는 29일까지 매일 2시간 동안 던전을 이용할 수 있다. 이벤트 던전에서 몬스터를 처치하면 다량의 경험치를 얻을 수 있다. 
 
‘리.."
20210919	문화일보	"게임업계, 추석 연휴 게이머 잡기 나섰다"	"송편 달토끼 등 추석 관련 이벤트 아이템 등 증정



황금 설연휴를 맞아 게임업계가 다양한 추석맞이 이벤트로 이용자 잡기에 나섰다. 게임사들은 대표적인 추석 음식 ‘송편’과 추석의 상징 ‘달토끼’를 활용한 이벤트를 통해 재미를 제공할 계획이다.

 

19일 게임업계에 따르면 카카오게임즈는 ‘오딘: 발할라 라이징’에 한가위 특별 던전을 만들었다. 특별.."
20210918	아시아경제	'구글 카카오 쿠팡' 정조준 하고 있는 공정위	"구글, 'OS 강재 탑재 제재' 이어 앱마켓 등 3건 조사 진행 중 
 
카카오 쿠팡도 공정위 칼날 피하기 힘들 듯 
 
[세종=아시아경제 주상돈 기자] 공정거래위원회가 구글과 카카오, 쿠팡 등 대표적인 온라인 플랫폼 기업을 집중 겨냥하고 있다. 공정위는 최근 구글 안드로이드 운영체제(OS) 강제에 대한 제재를 발표한 자리에서 아직 구글 사건 3건이 남.."
20210918	아시아경제	게임사 직원들이 받는 추석 선물은 '이것'[부애리의 게임사전]	"[아시아경제 부애리 기자] 민족 대명절 추석을 맞아 직장인들이라면 은근히 기대하는 것이 회사로부터 받는 '추석 선물'이다. 게임사 직원들은 어떤 선물을 받는 지 알아봤다. 
 
매년 '통 큰 선물' 엔씨, 올해는 잠잠 
 
매년 명절 연휴마다 통 큰 선물로 화제를 모았던 엔씨소프트는 올해는 잠잠했다. 엔씨는 직원들에게 매년 지급하는 20만원 상당의 백화.."
20210917	서울신문	“실력있으면 처우는 걱정마시게” IT 플랫폼 업계 채용시장 ‘활짝’	"정보기술(IT) 플랫폼 기업들이 대규모 하반기 채용에 나섰다. ‘실력만 있으면 최고 대우를 해주겠다는’는 식의 채용 공고가 특징이다. 비대면 서비스 시장의 활황으로 인해 급성장중인 IT 플랫폼 업계가 인재 모시기 전쟁을 벌이고 있다.
18일 업계에 따르면 통신업을 중심으로 디지털 사업에 열중하는 KT, 게임 ‘던전앤파이터’의 개발사이자 넥슨의 자회사인 .."
20210917	YTN	[자막뉴스] 카카오 김범수 의장 3년 만에 국감장으로	"[윤재옥 / 국회 정무위원회 위원장 : 2021년도 국정감사 증인과 참고인 출석 요구의 건은 배부해드린 유인물과 같이 의결하고자 하는데 이의 없으십니까? 이의없으시면 가결되었음을 선포합니다.]

공정거래위원회의 소관 상임위인 국회 정무위원회가 김범수 카카오 이사회 의장 등 플랫폼 업체 관계자들을 대거 다음 달 국감장으로 소환했습니다.

최근 플랫폼 기업.."
20210917	한겨레	가장 빠른 로봇 ‘미니 치타’와 참참참 하며 놀아봐요	"올 추석연휴 때 자녀와 함께 제주도로 여행을 갈 계획이 있으면 제주시에 위치한 넥슨컴퓨터박물관을 가보는 것도 괜찮을 듯 싶다. 자녀에게 세계에서 가장 빠른 4족 보행 로봇과 놀아보고 빛을 이용해 좋아하는 장난감을 홀로그램으로 만들어보는 경험을 선물할 수 있다.

넥슨컴퓨터박물관이 추석연휴 때 ‘추석N박물관’ 이벤트를 연다고 17일 밝혔다. 3일(9월18.."
20210917	전자신문	"넥슨, '메이플스토리M' 신규 던전 '크리티아스' 업데이트"	"넥슨이 자사 모바일 다중접속역할수행게임(MMORPG) '메이플스토리M'에서 신규 던전 '크리티아스'를 추가했다고 17일 밝혔다.

이번 업데이트로 '공간의 경계'의 첫 번째 던전 '크리티아스'가 새롭게 도입됐다. 의문의 왕국 '크리티아스' 지역의 몬스터가 끊임없이 등장하는 던전으로, 세 가지 난이도로 구성돼 권장 전투력에 맞게 플레이할 수 있다.

'메.."
20210917	전자신문	"제13회 대통령배 KeG, 전국결선 출전할 17개 광역시도 대표 선발 완료"	"문화체육관광부가 주최하고 한국e스포츠협회가 주관하는 '제13회 대통령배 아마추어 e스포츠대회 대회'(대통령배 KeG)가 오는 10월 전국 결선에 진출할 17개 지역 대표를 모두 선발했다.

대통령배 KeG는 e스포츠 유망주 발굴과 아마추어 e스포츠 저변 확대를 목표로 참여하는 전국 단위 대회다. 15년 동안 개최된 세계 유일 전국 아마추어 e스포츠 대회.."
20210917	전자신문	"넥슨컴퓨터박물관, 4족 보행 로봇 시연 등 '추석N박물관' 이벤트 진행"	"넥슨컴퓨터박물관에서 추석 맞이 특별 프로그램을 실시한다.

넥슨은 넥슨컴퓨터박물관에서 4족 보행 로봇 '미니 치타' 시연, 인기 체험형 교육 프로그램 '만지작(作) All Day' 등의 '추석N박물관' 이벤트를 18일, 19일, 22일 3일 간 진행한다.

'미니 치타'는 로봇공학 권위자로 인정받는 미국 매사추세츠 공과대학교(MIT) 기계공학과 김상배 .."
20210917	디지털타임스	"""인재 모십니다"" IT 게임 업계, 하반기 인재 채용 각축전"	"IT(정보기술), 게임 기업들이 대규모 인재 채용에 나서고 있다. 신입과 경력을 가리지 않고 다양한 분야에서 채용을 진행하며 인재 영입에 속도를 내는 모습이다.



17일 업계에 따르면 네이버, 카카오, 네오플, 컴투스 등이 개발자 채용을 실시하고 있다.



먼저 네이버는 오는 29일까지 하반기 신입 개발자 공개 채용을 진행한다. 채용 규모는 세자릿.."
20210917	머니투데이	김범수 이해진 3년만에 국감 소환 플랫폼 업체 대표들 무더기 증인채택	"[머니투데이 윤지혜 기자, 김수현 기자] 국회가 올해 대규모 플랫폼 국정감사를 예고했다. 플랫폼 규제 권한을 둘러싼 정부 부처간 영역경쟁이 국회 상임위원회까지 확대되면서 앞다퉈 IT(정보기술) 업계 대표들을 불러세우는 것이다. 이 과정에서 플랫폼 기업에 대한 망신주기나 여론몰이식 비난 공세로 신성장 동력에대한 부정적 이미지만 고조시키는게 아니냐는 우려도.."
20210917	국민일보	"김범수 김정주 강한승, 국감 증인으로 선다"	"김범수 카카오 이사회 의장과 김정주 넥슨 창업주, 강한승 쿠팡 대표 등 국내 주요 정보통신기술(ICT) 기업인들이 국회 국정감사 증인으로 채택됐다. 
 
국회 정무위원회는 16일 전체회의에서 ‘2021년도 국정감사 증인 참고인 출석요구의 건’을 통과시켰다. 홍원식 남양유업 회장과 이동통신 3사 대표, 권남희 머지플러스 대표도 증인으로 채택됐다. 증인들은.."
20210917	동아일보	김범수-김정주-홍원식 국감 증인 채택	"국회 정무위원회가 김범수 카카오 이사회 의장, 김정주 넥슨 창업주, 강한승 쿠팡 대표 등 대형 플랫폼 기업 대표들을 국정감사 증인으로 16일 채택했다. 국회 환경노동위원회도 김 의장과 이해진 네이버 글로벌투자책임자(GIO) 등을 국감 증인으로 채택하는 방안을 논의 중이다. 
 
 정무위는 이날 전체회의를 열고 이런 내용이 담긴 2021년도 국정감사 계획.."
20210917	YTN	김범수 증인 채택...개봉박두 '네카쿠야' 플랫폼 국감	"[앵커]
카카오의 김범수 의장을 비롯해 네이버와 쿠팡 등 거대 플랫폼 기업인들이 대거 올해 국정감사 증인으로 채택됐습니다.

갑질 논란에 휩싸인 공룡 IT 기업을 상대로 한 이른바 '네카쿠야' 플랫폼 국감이 예상됩니다.

보도에 김상우 기자입니다.

[기자]

[윤재옥 / 국회 정무위원회 위원장 : 2021년도 국정감사 증인과 참고인 출석 요구의 건은 .."
20210917	중앙일보	[비즈스토리] 정규직과 동일한 급여와 복지  채용형 인턴십 ‘넥토리얼’ 주목	"넥슨 / 6개월간 조직문화 및 업무 파악 / 개인별 맞춤 성장 프로그램도 / 인원 제한 없이 정규직 전환 가능 
 
 넥슨이 내년까지 1000명의 대단위 채용 계획을 밝힌 데 이어 올 하반기 특별한 인턴십 ‘넥토리얼’ 채용 계획을 공개했다. 정규직과 동일한 급여(넥슨코리아 개발자 기준 연봉 5000만원)와 복지 제공, 개인별 맞춤 성장 프로그램 등 파격.."
20210917	중앙일보	“네이버 카카오 쿠팡 배민 야놀자 다 나와”	"‘빅 테크 때리기’가 폭풍처럼 몰아치고 있다. 카카오 등 플랫폼 기업에 고강도 규제를 예고한 정부에 이어, 여당인 더불어민주당이 다음 달 1일부터 열리는 국정감사에 주요 빅 테크 기업 대표를 줄줄이 증인으로 신청했다. 일부 상임위에선 야당과의 합의로 증인 채택을 확정했다. 
 
 신종 코로나바이러스 감염증(코로나19) 여파로 e커머스(전자상거래) 시장과.."
20210916	YTN	김범수 증인 채택...개봉박두 '네카쿠야' 플랫폼 국감	"[앵커]
카카오의 김범수 의장을 비롯해 쿠팡과 야놀자, 넥슨 등 플랫폼 기업인이 대거 올해 국정감사 증인으로 채택됐습니다.

갑질 논란에 휩싸인 공룡 IT 기업을 상대로 한 이른바 '네카쿠야' 플랫폼 국감이 예상됩니다.

보도에 김상우 기자입니다.

[기자]

[윤주옥 / 국회 정무위원회 위원장 : 2021년도 국정감사 증인과 참고인 출석 요구의 건은 .."
20210916	YTN	김범수 증인 채택...개봉박두 '네카쿠야' 플랫폼 국감	"[앵커]
카카오의 김범수 의장을 비롯해 쿠팡과 야놀자, 넥슨 등 플랫폼 기업인이 대거 올해 국정감사 증인으로 채택됐습니다.

갑질 논란에 휩싸인 공룡 IT 기업을 상대로 한 이른바 '네카쿠야' 플랫폼 국감이 예상됩니다.

보도에 김상우 기자입니다.

[기자]

[윤주옥 / 국회 정무위원회 위원장 : 2021년도 국정감사 증인과 참고인 출석 요구의 건은 .."
20210916	디지털타임스	"플랫폼 수난시대, 국감 불려나온다"	"정부 여당을 중심으로 플랫폼 규제 압박이 이어지는 가운데 이해진 네이버 설립자(GIO)와 김범수 카카오 이사회 의장이 국회 국정감사 증인으로 채택됐다.



또한 넥슨 창업자인 김정주 NXC 이사를 비롯해 SK텔레콤, KT, LG유플러스 이동통신 3사 CEO(최고경영자) 등 IT(정보통신기술) 기업 대표도 줄줄이 증인으로 소환됐다. 



빅테크 기업과.."
